禾	he2	1A0AENG ◼ cereal ◼ grainGER ◼ Getreide ◼ KornRAD ◼ KangXi 115: grainINFORMATION1A0PDISTINGUISH FROM: 釆 [biàn] · 米 [mǐ] · 木 [mù]CHARACTER1A0PSTROKES: (5)񴱳 񴱴 񴱵 񴱶 񴱷MNEMONICS: ◼ represents a sheath of grain with a sagging headMEANING AS COMPONENT: ◼ grains ◼ farming, harvestingORIGINS: 禾 is a picture of a millet plant with its ears drooping under the weight of its mature grain. The original meaning is therefore grain or millet.ANCIENT FORM: AA10񴱱OCCURRENCES1A0PRELATIVES: 和 [hé] A0PAA00https://zi.tools/zi/禾
火	huo3	1A0AENG ◼ fire, flame, burn ◼ anger, rage, temper ◼ urgent ◼ firearms, ammunition ◼ fiery or flaming ◼ hot or popularGER ◼ Feuer, Flamme ◼ Feuerwaffe ◼ glühen ◼ eilig ◼ Zorn, ÄrgerMW ◼ (old) military unitsRAD ◼ KangXi 86: fireINFORMATION1A0PVARIANTS: 灬CHARACTER1A0PSTROKES: (4)񃋐 񃋑 񃋒 񃋓MNEMONICS: ◼ a fire with sparksMEANING AS COMPONENT: ◼ light ◼ heat ◼ fire and actions related to fire like cookingORIGINS: 火 is a picture of fire, hence the original meaning of fire or flame. As a component on the bottom of a character, it is often written 灬.ANCIENT FORM: AA10񃋎OCCURRENCES1A0PRELATIVES: 伙 [huǒ] A0PAA00https://zi.tools/zi/火
几	ji1	1A0AENG ◼ (small) table ◼ nearly, almost, practicallyGER ◼ kleiner Tisch, Tischchen ◼ beinahe, fast, annäherndRAD ◼ KangXi Nb. 16: tableINFORMATION1A0PVARIANTS: 凡DISTINGUISH FROM: 几/幾 [jǐ]CHARACTER1A0PSTROKES: (2)񂝰 񂝱MNEMONICS: ◼ a tableMEANING AS COMPONENT: ◼ tableORIGINS: 几 depicts a table. This character is also used to replace 幾 [jǐ] in simplified Chinese, creating another meaning.ANCIENT FORM: AA10񂝮 A0PAA00https://zi.tools/zi/几
几[幾]	ji3	1A0AENG ◼ how much / how many ◼ several, a fewGER ◼ wie vieleRAD ◼ KangXi Nb. 16: tableINFORMATION1A0PDISTINGUISH FROM: 几 [jī]DICTIONARY ENTRIES: _几_ · 几月几号CHARACTER1A0PSTROKES: (2)񂝰 񂝱COMPONENTS: ◼ 人: form: person◼ 戈: form: spear◼ 𢆶: form: silk ropesMNEMONICS: ◼ how many things can fit on such a small tableORIGINS: 幾 depicts a person 人 trapped in silk ropes 𢆶 being cut free by a spear 戈, indicating a "great danger". It's modern meaning is via sound loan.OCCURRENCES1A0PWORDS: 几点 [jǐdiǎn] · 几岁 [jǐsuì] · 几天 [jǐtiān] A0PAA00https://zi.tools/zi/几https://zi.tools/zi/幾
见[見]	jian4	1A0AENG ◼ see, catch sight of ◼ meet ◼ to appear (to be sth) ◼ to interview ◼ opinion, viewGER ◼ sehen, erblicken ◼ treffenRAD ◼ KangXi 147: seeINFORMATION1A0PDISTINGUISH FROM: 贝/貝 [bèi]DICTIONARY ENTRIES: _看见_ · _听见_CHARACTER1A0PSTROKES: (4)񂄕 񂄖 񂄗 񂄘COMPONENTS: ◼ 目 [mù]: form: eye◼ 儿 [rén]: form: person (人)MNEMONICS: ◼ a man with an eye for the head ◼ a person looking through a windowMEANING AS COMPONENT: ◼ to see ◼ attirbutes and actions attributed to perception, seeing, and inspectionORIGINS: 见 depicts a person (儿) with an enlarged eye (originally 目, now simplified), emphasizing the original meaning to see. 见 replaces 見 in Simplified Chinese.ANCIENT FORM: AA10񂄓񁃎 A0PAA00https://zi.tools/zi/见https://zi.tools/zi/見
冂	jiong1	1A0ARAD ◼ KangXi 13: wide ◼ aka 同字框 [tóngzìkuàng]INFORMATION1A0PDISTINGUISH FROM: 冂 [táng]CHARACTER1A0PSTROKES: (2)񃙸 񃙹ORIGINS: The character shares the same form as 冂 [táng] (hall) in the modern script. A0PAA00https://zi.tools/zi/冂
亅	jue2	1A0ARAD ◼ KangXi 6: hook ◼ 竖钩 [shùgōu]INFORMATION1A0PDISTINGUISH FROM: 丨 [gǔn]CHARACTER1A0PSTROKES: (1)亅 A0PAA00https://zi.tools/zi/亅
凵	kan3	1A0ARAD ◼ KangXi 17: bowl, open-boxCHARACTER1A0PSTROKES: (2)񅇮 񅇯MNEMONICS: ◼ primitive of an open vessel or receptacleMEANING AS COMPONENT: ◼ pit or cave ◼ containerORIGINS: 凵 depicts a sunken-in pit or cave.ANCIENT FORM: AA10񅇬 A0PAA00https://zi.tools/zi/凵
口	kou3	1A0AENG ◼ mouth ◼ open end, opening ◼ entrance, gateGER ◼ Mund, ÖffnungMW ◼ things with mouths (family members, domestic animals, cannons, wells, etc) ◼ for bites or mouthfulsRAD ◼ KangXi 30: mouthINFORMATION1A0PVARIANTS: 亼 [jí]DISTINGUISH FROM: 囗 [wéi]CHARACTER1A0PSTROKES: (3)񁽑 񁽒 񁽓MNEMONICS: ◼ an open/smiling mouth, where food and words enter and get outMEANING AS COMPONENT: ◼ opening, entrance ◼ things done with one's mouth: speaking, eating, drinking, etc. ◼ soundORIGINS: 口 depicts a person's open mouth.ANCIENT FORM: AA10񁽏OCCURRENCES1A0PRELATIVES: 和 [hé] · 问 [wèn] A0PAA00https://zi.tools/zi/口
里	li3	1A0AENG ◼ neighborhood ◼ native place ◼ administrative unit between the township 镇 [zhèn] and neighborhood 邻 [lín]GER ◼ Nachbarschaft, nähere Umgebung ◼ HeimatMW ◼ (ancient) measurement of length ◼ 500 m = 150 zhang (市丈)RAD ◼ KangXi 166: villageCHARACTER1A0PSTROKES: (7)񳲂 񳲃 񳲄 񳲅 񳲇 񳲈 񳲉COMPONENTS: ◼ 田 [tián]: form: field◼ 土 [tǔ]: form: pile of earthMNEMONICS: ◼ in our neighborhood there are rice fields 田 and a cemetery 土ORIGINS: 里 is composed of a field (田) and a pile of earth (土), indicating the original meaning "a place to live". A place that can be farmed is suitable for living. The character 里 is used in Simplified Chinese to replace 裡 [li] and 裏 [lǐ].OCCURRENCES1A0PRELATIVES: 里/裡 [lǐ] · 里/裏 [lǐ] A0PAA00https://zi.tools/zi/里
